	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Comparison
GO:0032886	BP	GO:0032886	regulation of microtubule-based process	17/417	257/21359	1.3328264993066e-05	0.00125982395695821	0.0010413902743386	Map2/Tpr/Tppp/Map1b/Stmn4/Slain1/Nubp1/Chmp2b/Tubb4a/Eml3/Gpsm2/Stmn1/Hsph1/Fkbp4/Clip3/Chordc1/Fez1	17	MaintenancevsSaline
GO:0051258	BP	GO:0051258	protein polymerization	17/417	258/21359	1.4017497565909e-05	0.0012955282750359	0.00107090402456746	Map2/Ssh2/Csnk1d/Tppp/Map1b/Slain1/Rictor/Tubb4a/Gsn/Casq2/Stmn1/Arpc4/Fkbp4/Clip3/Tppp3/Tmod2/Pak3	17	MaintenancevsSaline
GO:0006986	BP	GO:0006986	response to unfolded protein	11/417	114/21359	1.46218892481807e-05	0.00132200950833008	0.00109279382802193	Hspd1/Atf3/Dnajb9/Hspa5/Hsph1/Edem1/Ppp1r15a/Ccnd1/Herpud1/Hspa8/Manf	11	MaintenancevsSaline
GO:0006278	BP	GO:0006278	RNA-templated DNA biosynthetic process	8/417	58/21359	1.61072762175158e-05	0.00139562837059683	0.0011536483361054	Cct4/Ctc1/Cct5/Cct8/Tcp1/Hsp90ab1/Cct7/Dkc1	8	MaintenancevsSaline
GO:0007004	BP	GO:0007004	telomere maintenance via telomerase	8/417	58/21359	1.61072762175158e-05	0.00139562837059683	0.0011536483361054	Cct4/Ctc1/Cct5/Cct8/Tcp1/Hsp90ab1/Cct7/Dkc1	8	MaintenancevsSaline
GO:1901998	BP	GO:1901998	toxin transport	7/417	44/21359	2.11186725056192e-05	0.00177348397896218	0.0014659897179966	Cct4/Cct5/Cct8/Tcp1/Hspa5/Dnaja1/Cct7	7	MaintenancevsSaline
GO:0070198	BP	GO:0070198	protein localization to chromosome, telomeric region	6/417	30/21359	2.13210384583095e-05	0.00177348397896218	0.0014659897179966	Cct4/Cct5/Cct8/Tcp1/Cct7/Dkc1	6	MaintenancevsSaline
GO:0051494	BP	GO:0051494	negative regulation of cytoskeleton organization	13/417	167/21359	2.56627023155181e-05	0.00206102257863567	0.00170367364164567	Tmeff2/Map2/Ssh2/Map1b/Nubp1/Tubb4a/Gsn/Stmn1/Ctnna2/Fkbp4/Clip3/Tmod2/Shroom2	13	MaintenancevsSaline
GO:2000573	BP	GO:2000573	positive regulation of DNA biosynthetic process	9/417	80/21359	2.57689766984985e-05	0.00206102257863567	0.00170367364164567	Cct4/Cct5/Cct8/Tcp1/Hsp90ab1/Camk2d/Cct7/Dkc1/Pak3	9	MaintenancevsSaline
GO:0032210	BP	GO:0032210	regulation of telomere maintenance via telomerase	7/417	47/21359	3.29577961970939e-05	0.00258625423365497	0.00213783837894158	Cct4/Ctc1/Cct5/Cct8/Tcp1/Cct7/Dkc1	7	MaintenancevsSaline
GO:2000278	BP	GO:2000278	regulation of DNA biosynthetic process	11/417	126/21359	3.74692053734019e-05	0.00286210101803684	0.00236585766439512	Gja1/Cct4/Ctc1/Cct5/Cct8/Tcp1/Hsp90ab1/Camk2d/Cct7/Dkc1/Pak3	11	MaintenancevsSaline
GO:0032212	BP	GO:0032212	positive regulation of telomere maintenance via telomerase	6/417	33/21359	3.78493762904608e-05	0.00286210101803684	0.00236585766439512	Cct4/Cct5/Cct8/Tcp1/Cct7/Dkc1	6	MaintenancevsSaline
GO:0007051	BP	GO:0007051	spindle organization	13/417	174/21359	3.94803256901595e-05	0.00293211918831024	0.00242373578391092	Tpr/Ncor1/Zfp207/Csnk1d/Tppp/Ccnb1/Chmp2b/Haus1/Eml3/Smc3/Gpsm2/Stmn1/Smc1a	13	MaintenancevsSaline
GO:0034248	BP	GO:0034248	regulation of cellular amide metabolic process	22/417	435/21359	5.1040807171961e-05	0.00372418801803835	0.00307847232176592	Tpr/Lrrtm3/Cirbp/Shmt2/Fxr2/Pum2/Zfp36l1/Ngdn/Nsun3/Paip2/Abca2/Pdk1/Prnp/Fxr1/Dph5/Tia1/Apoe/Aplp1/Ppp1r15a/Picalm/Aars/Rbm3	22	MaintenancevsSaline
GO:0007064	BP	GO:0007064	mitotic sister chromatid cohesion	5/417	22/21359	5.5436197497247e-05	0.00397515767915604	0.00328592778631595	Nipbl/Esco1/Smc3/Naa10/Smc1a	5	MaintenancevsSaline
GO:0033120	BP	GO:0033120	positive regulation of RNA splicing	7/417	51/21359	5.67349920851132e-05	0.00399933613698281	0.00330591407939304	Cirbp/Srsf5/Hnrnpk/Tra2b/Tra2a/Hspa8/Rbm3	7	MaintenancevsSaline
GO:0051225	BP	GO:0051225	spindle assembly	10/417	110/21359	5.96463822088964e-05	0.00413448839344667	0.00341763305779396	Tpr/Ncor1/Zfp207/Csnk1d/Chmp2b/Haus1/Eml3/Smc3/Gpsm2/Smc1a	10	MaintenancevsSaline
GO:0010649	BP	GO:0010649	regulation of cell communication by electrical coupling	4/417	12/21359	6.26073441198868e-05	0.00426858924909196	0.00352848293176101	Gja1/Ank3/Casq2/Camk2d	4	MaintenancevsSaline
GO:0002764	BP	GO:0002764	immune response-regulating signaling pathway	20/417	381/21359	6.70485904052813e-05	0.00449766270154137	0.00371783864624191	Hspd1/Irgm1/Irf1/Sec14l1/Pum2/Cd180/Mog/Tnfrsf21/Treml4/Cd14/Slc15a3/Prnp/Rbck1/Tifa/Sh2b2/Zc3hav1/Clec4n/Ptpn6/Cd276/Mapkapk3	20	MaintenancevsSaline
GO:0031643	BP	GO:0031643	positive regulation of myelination	5/417	23/21359	6.97047600777906e-05	0.00451651556666766	0.00373342272072907	Tppp/Sox10/Myrf/Mag/Trf	5	MaintenancevsSaline
GO:0048025	BP	GO:0048025	negative regulation of mRNA splicing, via spliceosome	5/417	23/21359	6.97047600777906e-05	0.00451651556666766	0.00373342272072907	Ptbp1/Hnrnpk/Acin1/Srsf7/Srsf10	5	MaintenancevsSaline
GO:0035966	BP	GO:0035966	response to topologically incorrect protein	11/417	135/21359	7.0587523883962e-05	0.00451651556666766	0.00373342272072907	Hspd1/Atf3/Dnajb9/Hspa5/Hsph1/Edem1/Ppp1r15a/Ccnd1/Herpud1/Hspa8/Manf	11	MaintenancevsSaline
GO:0002823	BP	GO:0002823	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	7/417	53/21359	7.304771175863e-05	0.00453440945080809	0.00374821408646796	Il1rl1/Thoc1/Il33/Ifnb1/Ptpn6/Il4i1/Il4ra	7	MaintenancevsSaline
GO:0031113	BP	GO:0031113	regulation of microtubule polymerization	7/417	53/21359	7.304771175863e-05	0.00453440945080809	0.00374821408646796	Map2/Map1b/Slain1/Tubb4a/Stmn1/Fkbp4/Clip3	7	MaintenancevsSaline
GO:1904358	BP	GO:1904358	positive regulation of telomere maintenance via telomere lengthening	6/417	37/21359	7.43774835751675e-05	0.00454905814984002	0.00376032293121512	Cct4/Cct5/Cct8/Tcp1/Cct7/Dkc1	6	MaintenancevsSaline
GO:0072594	BP	GO:0072594	establishment of protein localization to organelle	21/417	416/21359	7.73631405820487e-05	0.00461492983920934	0.00381477350447545	Hspd1/Ptgs2/Tpr/Cct4/Kpna3/Nipbl/Cct5/Apod/Cct8/Tcp1/Hsp90ab1/Hspa5/Nup35/Pex5l/Fbxw7/Dnaja1/Cct7/Edem1/Herpud1/Hspa8/Dkc1	21	MaintenancevsSaline
GO:0000819	BP	GO:0000819	sister chromatid segregation	14/417	212/21359	7.76737409821241e-05	0.00461492983920934	0.00381477350447545	Rrs1/Tpr/Zfp207/Top2a/Ccnb1/Nipbl/Chmp2b/Akap8l/Esco1/Eml3/Smc3/Fbxw7/Naa10/Smc1a	14	MaintenancevsSaline
GO:0010833	BP	GO:0010833	telomere maintenance via telomere lengthening	8/417	72/21359	7.92929144627455e-05	0.00464477790493745	0.00383944638451189	Cct4/Ctc1/Cct5/Cct8/Tcp1/Hsp90ab1/Cct7/Dkc1	8	MaintenancevsSaline
GO:0032288	BP	GO:0032288	myelin assembly	5/417	24/21359	8.66436976752584e-05	0.00493631696755342	0.00408043715367547	Tppp/Epb41l3/Abca2/Ugt8a/Mag	5	MaintenancevsSaline
GO:0042026	BP	GO:0042026	protein refolding	5/417	24/21359	8.66436976752584e-05	0.00493631696755342	0.00408043715367547	Hspd1/Hspa5/Dnaja1/Hspa8/Cryab	5	MaintenancevsSaline
GO:1904356	BP	GO:1904356	regulation of telomere maintenance via telomere lengthening	7/417	56/21359	0.000104520416422971	0.00587432989058292	0.00485581337179834	Cct4/Ctc1/Cct5/Cct8/Tcp1/Cct7/Dkc1	7	MaintenancevsSaline
GO:0002820	BP	GO:0002820	negative regulation of adaptive immune response	7/417	58/21359	0.000131048107805917	0.00726705440486411	0.00600706133465438	Il1rl1/Thoc1/Il33/Ifnb1/Ptpn6/Il4i1/Il4ra	7	MaintenancevsSaline
GO:0006403	BP	GO:0006403	RNA localization	12/417	171/21359	0.000141334892192327	0.00773436600826169	0.00639334844737036	Tpr/Cct4/Zfp36l1/Senp2/Tcp1/Srsf3/Akap8l/Srsf7/Thoc1/Nxf1/Nup35/Dkc1	12	MaintenancevsSaline
GO:0032272	BP	GO:0032272	negative regulation of protein polymerization	8/417	79/21359	0.000153502320321693	0.00829111883399897	0.00685356907957141	Map2/Ssh2/Tubb4a/Gsn/Stmn1/Fkbp4/Clip3/Tmod2	8	MaintenancevsSaline
GO:0043687	BP	GO:0043687	post-translational protein modification	5/417	27/21359	0.000156823925581007	0.00836193213450522	0.00691210446622899	Irgm1/Ube2b/Esco1/Abca2/Lcmt2	5	MaintenancevsSaline
GO:0031641	BP	GO:0031641	regulation of myelination	7/417	60/21359	0.000162790831806009	0.00846308836851488	0.00699572179840033	Tppp/Sox10/Tnfrsf21/Myrf/Hes5/Mag/Trf	7	MaintenancevsSaline
GO:0044091	BP	GO:0044091	membrane biogenesis	7/417	60/21359	0.000162790831806009	0.00846308836851488	0.00699572179840033	Ank3/Chmp2b/Syt11/Ugcg/Ptprd/Clip3/Picalm	7	MaintenancevsSaline
GO:0051656	BP	GO:0051656	establishment of organelle localization	21/417	441/21359	0.000173904005129345	0.00892921922633269	0.00738103288827086	Rrs1/Map2/Ltv1/Ube2b/Map1b/Ccnb1/Nop9/Chmp2b/Eml3/Ptgds/Arfgap2/Syt11/Gpsm2/Fgr/Kif1b/Picalm/Insc/Il4ra/Wdr11/Fez1/Shroom2	21	MaintenancevsSaline
GO:0043254	BP	GO:0043254	regulation of protein-containing complex assembly	20/417	410/21359	0.000180059995147811	0.00913255511975298	0.00754911353212772	Map2/Irgm1/Ssh2/Tppp/Map1b/Slain1/Rictor/Tubb4a/Gsn/Stmn1/Arpc4/Fkbp4/Atf7ip/Apoe/Clip3/Tppp3/Ncam1/Cryab/Tmod2/Pak3	20	MaintenancevsSaline
GO:0002221	BP	GO:0002221	pattern recognition receptor signaling pathway	12/417	176/21359	0.000185184573115895	0.00927930891071093	0.00767042252119864	Hspd1/Irgm1/Irf1/Sec14l1/Pum2/Cd180/Treml4/Cd14/Slc15a3/Tifa/Zc3hav1/Mapkapk3	12	MaintenancevsSaline
GO:0033119	BP	GO:0033119	negative regulation of RNA splicing	5/417	28/21359	0.00018787649558609	0.00930212315645891	0.00768928113513998	Ptbp1/Hnrnpk/Acin1/Srsf7/Srsf10	5	MaintenancevsSaline
GO:0046394	BP	GO:0046394	carboxylic acid biosynthetic process	16/417	289/21359	0.000194422015604592	0.00951295485764113	0.00786355793145011	Ptgs2/Glul/Shmt2/Mcat/Psat1/Aldh18a1/Ptgds/Gatm/Phgdh/Gstm7/Acot7/Tbxas1/Alox5/Fa2h/Elovl4/Plp1	16	MaintenancevsSaline
GO:0016053	BP	GO:0016053	organic acid biosynthetic process	16/417	290/21359	0.000202175878353696	0.00967668919438096	0.00799890330642442	Ptgs2/Glul/Shmt2/Mcat/Psat1/Aldh18a1/Ptgds/Gatm/Phgdh/Gstm7/Acot7/Tbxas1/Alox5/Fa2h/Elovl4/Plp1	16	MaintenancevsSaline
GO:2001252	BP	GO:2001252	positive regulation of chromosome organization	9/417	104/21359	0.000202421726355168	0.00967668919438096	0.00799890330642442	Tpr/Morc2a/Cct4/Cct5/Cct8/Tcp1/Cct7/Atf7ip/Dkc1	9	MaintenancevsSaline
GO:0033044	BP	GO:0033044	regulation of chromosome organization	14/417	233/21359	0.000209846336766442	0.00984051654319045	0.00813432556663672	Tpr/Morc2a/Cct4/Ctc1/Zfp207/Top2a/Ccnb1/Cct5/Cct8/Tcp1/Cct7/Atf7ip/Naa10/Dkc1	14	MaintenancevsSaline
