Category	ID	Term	Genes	adj_pval
BP	GO:0008380	RNA splicing	Ptbp1,Cirbp,Zc3h10,Nsrp1,Srsf5,Ddx41,Hnrnpk,Acin1,Ccar2,Srsf3,U2af1,Hnrnpm,Cdc5l,Usp49,Rbm17,Fxr1,Mbnl1,Larp7,Sf3a3,Thrap3,Syf2,Srsf10,Srpk2,Trrap,Sgf29,Fus,Hspa8,Rbm5,Srpk3,Nono	3.70086907779866E-05
BP	GO:0097193	intrinsic apoptotic signaling pathway	Bclaf1,Pttg1ip,Ddit3,Xbp1,Ubb,Hnrnpk,Pnp,Ccar2,Myc,Ppm1f,Ralbp1,Msh2,Tmem109,Pdk1,Dnajc10,Fbxw7,Nbn,Eno1,Cycs,Arl6ip5,Plekhf1,Bax,Bnip3,Herpud1,Nono	3.70086907779866E-05
BP	GO:0043484	regulation of RNA splicing	Ptbp1,Cirbp,Zc3h10,Nsrp1,Srsf5,Hnrnpk,Acin1,Srsf3,Rbm17,Fxr1,Mbnl1,Larp7,Thrap3,Srsf10,Trrap,Sgf29,Fus,Hspa8,Rbm5	4.31212674093222E-05
BP	GO:0070202	regulation of establishment of protein localization to chromosome	Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	4.34958921109726E-05
BP	GO:0050684	regulation of mRNA processing	Ptbp1,Cirbp,Zc3h10,Nsrp1,Hnrnpk,Acin1,Hsf1,Srsf3,Fxr1,Mbnl1,Larp7,Thrap3,Srsf10,Srpk2,Hspa8,Rbm5,Srpk3	4.34958921109726E-05
BP	GO:0034620	cellular response to unfolded protein	Hspd1,Rhbdd1,Ddit3,Xbp1,Hsf1,Hspa5,Dnajc10,Bax,Ppp1r15a,Ccnd1,Herpud1,Abcb10,Hspa8	4.93911129385194E-05
BP	GO:0035966	response to topologically incorrect protein	Hspd1,Rhbdd1,Ubxn4,Ddit3,Xbp1,Dnajb9,Hsf1,Hspa5,Dnajc10,Bax,Ppp1r15a,Ccnd1,Herpud1,Abcb10,Hspa8,Manf	5.23561743733367E-05
BP	GO:1904816	positive regulation of protein localization to chromosome, telomeric region	Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	6.63832642919898E-05
BP	GO:1904814	regulation of protein localization to chromosome, telomeric region	Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	0.000108047500881317
BP	GO:0048024	regulation of mRNA splicing, via spliceosome	Ptbp1,Cirbp,Zc3h10,Nsrp1,Hnrnpk,Acin1,Srsf3,Fxr1,Mbnl1,Larp7,Thrap3,Srsf10,Hspa8,Rbm5	0.000131080247703887
BP	GO:0070997	neuron death	Hspd1,Ddit3,Ubb,Sarm1,Ccl12,Ccl3,Snx6,Psen1,Kcnma1,Parp2,Hsf1,Abcc1,Tnfrsf21,Hsp90ab1,Ralbp1,Msh2,Kcnip3,Kcnb1,Fbxw7,Srpk2,Arl6ip5,Tigar,C5ar1,Apoe,Bax,Picalm,Bnip3,Ccnd1,Aars,Nono	0.000145498955884003
BP	GO:0006397	mRNA processing	Ptbp1,Cirbp,Zc3h10,Nsrp1,Srsf5,Ddx41,Hnrnpk,Acin1,Pabpn1,Ccar2,Hsf1,Srsf3,U2af1,Akap8l,Hnrnpm,Cdc5l,Usp49,Rbm17,Fxr1,Mbnl1,Larp7,Sf3a3,Thrap3,Syf2,Srsf10,Srpk2,Hspa8,Rbm5,Srpk3,Nono	0.00019218000054015
BP	GO:0070199	establishment of protein localization to chromosome	Cct4,Nipbl,Cct5,Cct8,Tcp1,Cct3,Cct7	0.000284098120901576
BP	GO:0002221	pattern recognition receptor signaling pathway	Hspd1,Havcr2,Gps2,Sarm1,Lgals9,Nr1d1,Cd300a,Sec14l1,Pum2,Cd180,Nfkbil1,Cd14,Slc15a3,Tifa,Zc3hav1,Tlr13,Tlr7	0.000294817728687801
BP	GO:0009314	response to radiation	Rhbdd1,Nucks1,Cirbp,Ube2b,Rpain,Zzef1,Pnp,Ccar2,Nipbl,Slc1a3,Myc,Hsf1,Pde1b,Crebbp,Guca1a,Msh2,Synpo,Tmem109,Cat,Fbxw7,Per3,Tigar,Ercc1,Bax,Ccnd1,Fbxl12,Usp2,Kmt2a	0.000294817728687801
BP	GO:0035967	cellular response to topologically incorrect protein	Hspd1,Rhbdd1,Ddit3,Xbp1,Hsf1,Hspa5,Dnajc10,Bax,Ppp1r15a,Ccnd1,Herpud1,Abcb10,Hspa8	0.000308691766398159
BP	GO:1903311	regulation of mRNA metabolic process	Traf5,Ptbp1,Cirbp,Zc3h10,Nsrp1,Pum2,Hnrnpk,Ttc5,Acin1,Hsf1,Srsf3,Hnrnpm,Fxr1,Mbnl1,Larp7,Thrap3,Srsf10,Srpk2,Zc3hav1,Fus,Hspa8,Rbm5,Srpk3	0.000308691766398159
BP	GO:1901214	regulation of neuron death	Hspd1,Ddit3,Ubb,Sarm1,Ccl12,Ccl3,Snx6,Psen1,Kcnma1,Parp2,Hsf1,Abcc1,Hsp90ab1,Ralbp1,Msh2,Kcnip3,Kcnb1,Fbxw7,Srpk2,Tigar,C5ar1,Apoe,Bax,Picalm,Ccnd1,Aars,Nono	0.000315716455156192
BP	GO:1903131	mononuclear cell differentiation	Dock10,Slamf9,Itpkb,Lilrb4a,Ap3d1,Xbp1,Ncor1,Gps2,Lgals9,Smarce1,Dnajb9,Psen1,Cd83,Gadd45g,Zmiz1,Pnp,Gmpr2,Myc,Lgals1,Tnfsf9,Msh2,Zeb1,Fzd8,Il6ra,Ifnb1,Relb,Il4i1,Bax,Brd7,Irf2bp2,Sash3	0.000388532964034397
BP	GO:0070200	establishment of protein localization to telomere	Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	0.000395928256944384
BP	GO:0010563	negative regulation of phosphorus metabolic process	Pid1,Mical1,Lilrb4a,Pkib,Dusp6,Xbp1,Ncor1,Akap1,Cd300a,Prpsap1,Psen1,Gadd45g,Sema4d,Ppm1f,Entpd1,Dnajc10,Pkig,Bod1l,Coro1c,Tigar,Apoe,Ceacam1,Nup62,Bax,Ppp1r15a,Slc27a1,Chordc1,Ubash3b	0.000676840597402538
BP	GO:0045936	negative regulation of phosphate metabolic process	Pid1,Mical1,Lilrb4a,Pkib,Dusp6,Xbp1,Ncor1,Akap1,Cd300a,Prpsap1,Psen1,Gadd45g,Sema4d,Ppm1f,Entpd1,Dnajc10,Pkig,Bod1l,Coro1c,Tigar,Apoe,Ceacam1,Nup62,Bax,Ppp1r15a,Slc27a1,Chordc1,Ubash3b	0.000676840597402538
BP	GO:0051402	neuron apoptotic process	Hspd1,Ddit3,Sarm1,Ccl12,Ccl3,Snx6,Psen1,Kcnma1,Tnfrsf21,Hsp90ab1,Ralbp1,Msh2,Kcnip3,Kcnb1,Fbxw7,Srpk2,C5ar1,Apoe,Bax,Bnip3,Ccnd1,Aars,Nono	0.000858011740594733
BP	GO:0045582	positive regulation of T cell differentiation	Itpkb,Lilrb4a,Ap3d1,Xbp1,Lgals9,Smarce1,Cd83,Zmiz1,Pnp,Tnfsf9,Il4i1,Brd7,Sash3	0.00106849624423623
BP	GO:0007623	circadian rhythm	Ncor1,Nr1d1,Naglu,Nr1d2,Kcnma1,Ccar2,Mycbp2,Nrip1,Fbxw7,Ciart,Thrap3,Per3,Relb,Dbp,Fbxl12,Usp2,Kmt2a,Nono	0.00108567113004932
BP	GO:1901998	toxin transport	Cct4,Cct5,Cct8,Tcp1,Hspa5,Cct3,Cct7,Bnip3	0.0011171412082367
BP	GO:0043523	regulation of neuron apoptotic process	Hspd1,Ddit3,Sarm1,Ccl12,Ccl3,Snx6,Psen1,Kcnma1,Hsp90ab1,Ralbp1,Msh2,Kcnip3,Kcnb1,Fbxw7,Srpk2,C5ar1,Apoe,Bax,Ccnd1,Aars,Nono	0.00112968616432201
BP	GO:0006278	RNA-templated DNA biosynthetic process	Pkib,Cct4,Ctc1,Cct5,Cct8,Tcp1,Hsp90ab1,Cct3,Cct7	0.00112968616432201
BP	GO:0007004	telomere maintenance via telomerase	Pkib,Cct4,Ctc1,Cct5,Cct8,Tcp1,Hsp90ab1,Cct3,Cct7	0.00112968616432201
BP	GO:0032212	positive regulation of telomere maintenance via telomerase	Pkib,Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	0.00124425433617339
BP	GO:0032640	tumor necrosis factor production	Hspd1,Fcgr3,Slamf9,Ifngr1,Lilrb4a,Havcr2,Lgals9,Ccl3,Psen1,Hsf1,Nfkbil1,Cd14,Clec4a3,Clec4a2,Cd33,Sash3	0.00151492217929089
BP	GO:0032204	regulation of telomere maintenance	Pkib,Cct4,Ctc1,Cct5,Myc,Cct8,Tcp1,Cct3,Nbn,Cct7,Ercc1	0.00151492217929089
BP	GO:0032210	regulation of telomere maintenance via telomerase	Pkib,Cct4,Ctc1,Cct5,Cct8,Tcp1,Cct3,Cct7	0.00156142918053508
BP	GO:0051276	chromosome organization	Tpr,Pkib,Morc2a,Cct4,Ube2b,Ctc1,Smarce1,H3f3b,Pum2,Acin1,Nipbl,Cct5,Myc,Cct8,Tcp1,Akap8l,Hsp90ab1,Msh2,Eml3,Smc3,Tcf7l2,Fbxw7,Cct3,Pogz,Nbn,Cct7,Ercc1,Nup62,Brd7	0.00160425044861096
BP	GO:0032609	interferon-gamma production	Il1rl1,Hspd1,Lilrb4a,Ddit3,Havcr2,Lgals9,Gadd45g,Tnfsf9,Cd14,Rnf19b,Cd276,Sash3,Tlr7	0.00160425044861096
BP	GO:0007159	leukocyte cell-cell adhesion	Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd300a,Cd83,Sema4d,Zmiz1,Pnp,Lgals1,Itgb7,Tnfrsf21,Tnfsf9,Ifnb1,Selplg,Slc7a1,Ceacam1,Il4i1,Brd7,Cd276,Sash3	0.00160425044861096
BP	GO:0031647	regulation of protein stability	Hspd1,Xbp1,Cct4,Ube2b,Ncor1,Nr1d1,Ccar2,Cct5,Crebbp,Cct8,Tcp1,Hsp90ab1,B4galt5,Fbxw7,Cct3,Usp33,Per3,Hps4,Cct7,Hspa8,Usp2	0.00160425044861096
BP	GO:0071706	tumor necrosis factor superfamily cytokine production	Hspd1,Fcgr3,Slamf9,Ifngr1,Lilrb4a,Havcr2,Lgals9,Ccl3,Psen1,Hsf1,Nfkbil1,Cd14,Clec4a3,Clec4a2,Cd33,Sash3	0.00160981322346115
BP	GO:2001242	regulation of intrinsic apoptotic signaling pathway	Bclaf1,Pttg1ip,Ddit3,Xbp1,Ubb,Hnrnpk,Ccar2,Myc,Ralbp1,Fbxw7,Eno1,Plekhf1,Bax,Herpud1,Nono	0.00183905001862439
BP	GO:0048511	rhythmic process	Ncor1,Hlf,Nr1d1,Naglu,Nr1d2,Kcnma1,Ccar2,Mycbp2,Crebbp,Nrip1,Fbxw7,Ciart,Thrap3,Per3,Afp,Relb,Dbp,Fbxl12,Usp2,Kmt2a,Nono	0.00183905001862439
BP	GO:0050870	positive regulation of T cell activation	Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd83,Zmiz1,Pnp,Lgals1,Tnfsf9,Slc7a1,Il4i1,Brd7,Cd276,Sash3	0.0019407661979431
BP	GO:0030098	lymphocyte differentiation	Dock10,Itpkb,Lilrb4a,Ap3d1,Xbp1,Ncor1,Gps2,Lgals9,Smarce1,Dnajb9,Cd83,Gadd45g,Zmiz1,Pnp,Lgals1,Tnfsf9,Msh2,Zeb1,Fzd8,Il6ra,Ifnb1,Relb,Il4i1,Bax,Brd7,Irf2bp2,Sash3	0.00204987047255655
BP	GO:1904358	positive regulation of telomere maintenance via telomere lengthening	Pkib,Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	0.0020893575753897
BP	GO:0042326	negative regulation of phosphorylation	Pid1,Mical1,Lilrb4a,Pkib,Dusp6,Xbp1,Ncor1,Cd300a,Prpsap1,Psen1,Gadd45g,Sema4d,Ppm1f,Dnajc10,Pkig,Coro1c,Tigar,Apoe,Ceacam1,Nup62,Bax,Ppp1r15a,Chordc1,Ubash3b	0.00219817957447608
BP	GO:0045621	positive regulation of lymphocyte differentiation	Itpkb,Lilrb4a,Ap3d1,Xbp1,Lgals9,Smarce1,Cd83,Zmiz1,Pnp,Tnfsf9,Il4i1,Brd7,Sash3	0.00234951173259141
BP	GO:0022409	positive regulation of cell-cell adhesion	Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd83,Zmiz1,Dennd6a,Pnp,Lgals1,Tnfsf9,Il6ra,Slc7a1,Ceacam1,Il4i1,Brd7,Cd276,Sash3	0.00264910919277939
BP	GO:0009416	response to light stimulus	Rhbdd1,Cirbp,Ube2b,Rpain,Zzef1,Ccar2,Slc1a3,Pde1b,Crebbp,Guca1a,Msh2,Synpo,Cat,Fbxw7,Per3,Ercc1,Bax,Ccnd1,Fbxl12,Usp2,Kmt2a	0.00267860976074006
BP	GO:0032680	regulation of tumor necrosis factor production	Hspd1,Fcgr3,Ifngr1,Lilrb4a,Havcr2,Lgals9,Ccl3,Psen1,Hsf1,Nfkbil1,Cd14,Clec4a3,Clec4a2,Cd33,Sash3	0.00267860976074006
BP	GO:0050863	regulation of T cell activation	Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd300a,Cd83,Zmiz1,Pnp,Lgals1,Tnfrsf21,Tnfsf9,Zeb1,Ifnb1,Slc7a1,Ceacam1,Il4i1,Brd7,Cd276,Sash3	0.00267860976074006
BP	GO:1902105	regulation of leukocyte differentiation	Itpkb,Lilrb4a,Ap3d1,Xbp1,Lgals9,Ccl3,Smarce1,Cd83,Zmiz1,Pnp,Myc,Hsf1,Tnfsf9,Zeb1,Fbxw7,Ifnb1,Ceacam1,Il4i1,Brd7,Ubash3b,Ccr1,Sash3	0.00269537331519594
BP	GO:0045580	regulation of T cell differentiation	Itpkb,Lilrb4a,Ap3d1,Xbp1,Lgals9,Smarce1,Cd83,Zmiz1,Pnp,Tnfsf9,Zeb1,Ifnb1,Il4i1,Brd7,Sash3	0.00307135651415216
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	Hspd1,Fcgr3,Ifngr1,Lilrb4a,Havcr2,Lgals9,Ccl3,Psen1,Hsf1,Nfkbil1,Cd14,Clec4a3,Clec4a2,Cd33,Sash3	0.00307135651415216
BP	GO:2001252	positive regulation of chromosome organization	Tpr,Pkib,Morc2a,Cct4,Cct5,Cct8,Tcp1,Cct3,Nbn,Cct7,Ercc1	0.00314667333782643
BP	GO:0032206	positive regulation of telomere maintenance	Pkib,Cct4,Cct5,Cct8,Tcp1,Cct3,Nbn,Cct7,Ercc1	0.00314667333782643
BP	GO:1902107	positive regulation of leukocyte differentiation	Itpkb,Lilrb4a,Ap3d1,Xbp1,Lgals9,Ccl3,Smarce1,Cd83,Zmiz1,Pnp,Hsf1,Tnfsf9,Il4i1,Brd7,Ccr1,Sash3	0.00314667333782643
BP	GO:1903708	positive regulation of hemopoiesis	Itpkb,Lilrb4a,Ap3d1,Xbp1,Lgals9,Ccl3,Smarce1,Cd83,Zmiz1,Pnp,Hsf1,Tnfsf9,Il4i1,Brd7,Ccr1,Sash3	0.00314667333782643
BP	GO:0002224	toll-like receptor signaling pathway	Hspd1,Havcr2,Gps2,Sarm1,Lgals9,Nr1d1,Cd300a,Cd180,Nfkbil1,Cd14,Tlr13,Tlr7	0.00314667333782643
BP	GO:0032200	telomere organization	Pkib,Cct4,Ctc1,H3f3b,Cct5,Myc,Cct8,Tcp1,Hsp90ab1,Cct3,Nbn,Cct7,Ercc1	0.00318244055810559
BP	GO:0016032	viral process	Ccnt2,Nucks1,Ptbp1,Morc2a,Ccl12,Ly6e,Lgals1,Crebbp,Hsp90ab1,Vps18,Larp7,Nbn,Ifnb1,Srpk2,Zc3hav1,Cul1,Apoe,Ceacam1,Bax,Trim5,Trim12a,Hspa8	0.00318244055810559
BP	GO:0032922	circadian regulation of gene expression	Ncor1,Nr1d1,Mycbp2,Nrip1,Ciart,Per3,Relb,Usp2,Kmt2a	0.00327333897862868
BP	GO:0002253	activation of immune response	Lilrb4a,Tbk1,Lcp2,Gps2,Cd300a,Psen1,Fyb,Tnfrsf21,Lpxn,Blnk,Dgkz,Rbck1,Sh2b2,Clec4n,C5ar1,Bax,Trim5,Trim12a,Cd276,Nono	0.00327333897862868
BP	GO:0042113	B cell activation	Hspd1,Dock10,Lilrb4a,Xbp1,Gps2,Cd300a,Dnajb9,Cd180,Pnp,Lgals1,Tnfrsf21,Msh2,Blnk,Nbn,Ifnb1,Ercc1,Il4i1,Bax,Irf2bp2,Sash3	0.00327333897862868
BP	GO:0050821	protein stabilization	Hspd1,Cct4,Ube2b,Ncor1,Cct5,Cct8,Tcp1,Hsp90ab1,Fbxw7,Cct3,Usp33,Per3,Hps4,Cct7,Usp2	0.00335339206011818
BP	GO:1904356	regulation of telomere maintenance via telomere lengthening	Pkib,Cct4,Ctc1,Cct5,Cct8,Tcp1,Cct3,Cct7	0.00336229583224704
BP	GO:0046631	alpha-beta T cell activation	Itpkb,Lilrb4a,Ap3d1,Ncor1,Lgals9,Cd300a,Cd83,Gadd45g,Pnp,Myc,Il6ra,Clec4a3,Clec4a2,Relb,Sash3	0.00336229583224704
BP	GO:0006914	autophagy	Tbk1,Ddit3,Xbp1,Gfap,Gaa,Psen1,Atg2b,Pacs2,Zkscan3,Pik3c3,Iigp1,Vti1a,Vps18,Fbxw7,Dram2,Usp33,Tigar,Plekhf1,Trim5,Trim12a,Bnip3,Rab8a,Scoc,Map1lc3b,Hspa8,Wdr6	0.00336229583224704
BP	GO:0061919	process utilizing autophagic mechanism	Tbk1,Ddit3,Xbp1,Gfap,Gaa,Psen1,Atg2b,Pacs2,Zkscan3,Pik3c3,Iigp1,Vti1a,Vps18,Fbxw7,Dram2,Usp33,Tigar,Plekhf1,Trim5,Trim12a,Bnip3,Rab8a,Scoc,Map1lc3b,Hspa8,Wdr6	0.00336229583224704
BP	GO:0010833	telomere maintenance via telomere lengthening	Pkib,Cct4,Ctc1,Cct5,Cct8,Tcp1,Hsp90ab1,Cct3,Cct7	0.00336229583224704
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	Lilrb4a,Lcp2,Gps2,Cd300a,Psen1,Fyb,Tnfrsf21,Lpxn,Blnk,Dgkz,Rbck1,Sh2b2,Clec4n,C5ar1,Bax,Cd276	0.00353407503041562
BP	GO:0022407	regulation of cell-cell adhesion	Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd300a,Cd83,Zmiz1,Dennd6a,Pnp,Lgals1,Ppm1f,Tnfrsf21,Tnfsf9,Il6ra,Ifnb1,Slc7a1,Ceacam1,Il4i1,Brd7,Ubash3b,Rdx,Cd276,Sash3	0.00358549563147584
BP	GO:0002312	B cell activation involved in immune response	Hspd1,Dock10,Lilrb4a,Xbp1,Cd180,Lgals1,Msh2,Nbn,Ifnb1,Ercc1	0.00358549563147584
BP	GO:0002757	immune response-activating signal transduction	Lilrb4a,Lcp2,Gps2,Cd300a,Psen1,Fyb,Tnfrsf21,Lpxn,Blnk,Dgkz,Rbck1,Sh2b2,Clec4n,C5ar1,Bax,Cd276	0.00358549563147584
BP	GO:0050851	antigen receptor-mediated signaling pathway	Lilrb4a,Lcp2,Gps2,Cd300a,Psen1,Fyb,Tnfrsf21,Lpxn,Blnk,Dgkz,Rbck1,Sh2b2,Bax,Cd276	0.00358549563147584
BP	GO:0070198	protein localization to chromosome, telomeric region	Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	0.00358549563147584
BP	GO:0009615	response to virus	Ifngr1,Tbk1,G3bp1,Lgals9,Akap1,Sec14l1,Pum2,Ddx41,Crebbp,Il10rb,Ifit3,Gbp7,Ifnb1,Zc3hav1,Bax,Trim5,Trim12a,Bnip3,Elmod2,Tlr13,Tlr7	0.00374685994211688
BP	GO:1904951	positive regulation of establishment of protein localization	Tpr,Glul,Xbp1,Cct4,Psen1,Ang,Cct5,Adcy8,Cct8,Tcp1,Hnrnpm,Hsp90ab1,Cep120,Tcf7l2,Kcnb1,Fbxw7,Cct3,Psmd9,Cct7,Cd33,Pak1	0.00386531702894655
BP	GO:0002285	lymphocyte activation involved in immune response	Hspd1,Dock10,Lilrb4a,Xbp1,Havcr2,Lgals9,Psen1,Gadd45g,Cd180,Lgals1,Msh2,Il6ra,Nbn,Ifnb1,Ercc1,Relb	0.00401349323121214
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd300a,Cd83,Zmiz1,Pnp,Lgals1,Tnfrsf21,Tnfsf9,Ifnb1,Slc7a1,Ceacam1,Il4i1,Brd7,Cd276,Sash3	0.00412150201496838
BP	GO:0002274	myeloid leukocyte activation	Il1rl1,Hspd1,Fcgr3,Ifngr1,Lilrb4a,Lcp2,Havcr2,Lgals9,Nr1d1,Cd300a,Psen1,Tnfsf9,Snap23,Ifnb1,Anxa3,C5ar1,Relb,Cd33	0.00414922664957652
BP	GO:0002573	myeloid leukocyte differentiation	L3mbtl3,Lilrb4a,Ccl3,Psen1,Gmpr2,Myc,Hsf1,Nrros,Tnfsf9,Fbxw7,Ifnb1,Fam20c,Relb,Ceacam1,Ubash3b,Ccr1,Gab3	0.00414959460713981
BP	GO:0001933	negative regulation of protein phosphorylation	Pid1,Mical1,Lilrb4a,Pkib,Dusp6,Xbp1,Cd300a,Psen1,Gadd45g,Sema4d,Ppm1f,Dnajc10,Pkig,Coro1c,Apoe,Ceacam1,Nup62,Bax,Ppp1r15a,Chordc1,Ubash3b	0.00414959460713981
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	Hspd1,Itpkb,Lilrb4a,Ap3d1,Xbp1,Havcr2,Lgals9,Smarce1,Cd83,Zmiz1,Pnp,Lgals1,Tnfsf9,Slc7a1,Il4i1,Brd7,Cd276,Sash3	0.00421463446532456
BP	GO:0045050	protein insertion into ER membrane by stop-transfer membrane-anchor sequence	Emc2,Emc4,Emc1,Mmgt1	0.00430236120321316
BP	GO:0000380	alternative mRNA splicing, via spliceosome	Ptbp1,Zc3h10,Nsrp1,Hnrnpm,Rbm17,Fxr1,Mbnl1,Thrap3,Rbm5	0.0052445603245336
BP	GO:0030217	T cell differentiation	Itpkb,Lilrb4a,Ap3d1,Xbp1,Ncor1,Lgals9,Smarce1,Cd83,Gadd45g,Zmiz1,Pnp,Tnfsf9,Zeb1,Fzd8,Il6ra,Ifnb1,Relb,Il4i1,Brd7,Sash3	0.0052445603245336
BP	GO:0048525	negative regulation of viral process	Morc2a,Ly6e,Crebbp,Larp7,Nbn,Ifnb1,Srpk2,Zc3hav1,Trim5,Trim12a	0.0052445603245336
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	Lilrb4a,Lcp2,Gps2,Cd300a,Psen1,Fyb,Tnfrsf21,Lpxn,Blnk,Dgkz,Rbck1,Sh2b2,Clec4n,C5ar1,Bax,Cd276	0.0052445603245336
BP	GO:0048512	circadian behavior	Ncor1,Nr1d1,Naglu,Nr1d2,Kcnma1,Ciart,Per3,Usp2	0.00533728085411245
BP	GO:0032607	interferon-alpha production	Hspd1,Ap3d1,Tbk1,Havcr2,Zc3hav1,Tlr7	0.00533728085411245
BP	GO:0032649	regulation of interferon-gamma production	Il1rl1,Hspd1,Lilrb4a,Ddit3,Havcr2,Lgals9,Tnfsf9,Cd14,Cd276,Sash3,Tlr7	0.00553118503602032
BP	GO:1903706	regulation of hemopoiesis	Itpkb,Lilrb4a,Ap3d1,Xbp1,Lgals9,Ccl3,Smarce1,Cd83,Zmiz1,Pnp,Myc,Hsf1,Tnfsf9,Zeb1,Fbxw7,Ifnb1,Csf3r,Ceacam1,Il4i1,Brd7,Abcb10,Ubash3b,Ccr1,Sash3	0.0055850322067688
BP	GO:2001020	regulation of response to DNA damage stimulus	Bclaf1,Eya4,Pttg1ip,Smarce1,Hnrnpk,Pnp,Ccar2,Myc,Hsf1,Fxr1,Pogz,Trrap,Rad52,Tigar,Ercc1,Rnf169,Sgf29,Fus,Brd7	0.00575090903619511
