	SAL01	SAL02	SAL03	SAL04	SAL07	MN01	MN02	MN03	MN04	MN05	ABS01	ABS02	ABS03	ABS04	ABS05	ABS06	ABS07
Gm32947|Gm32947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28836|Gm28836	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Gsta3|Gsta3	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	46
Mcm3|Mcm3	6334	4111	5494	3692	4482	5427	3876	6161	4824	6652	5050	5999	4702	5138	6163	5625	6685
Efhc1|Efhc1	173	73	103	158	118	70	36	84	0	128	151	271	173	134	0	287	36
Tram2|Tram2	152	82	92	111	0	43	72	69	8	288	124	137	113	37	53	83	14
Ogfrl1|Ogfrl1	6469	3653	3885	3293	5397	6151	5073	7217	4203	3549	6598	5021	3660	4709	5134	5270	5248
Gm19673|Gm19673	27	84	64	89	31	54	28	0	10	114	14	52	12	57	0	77	0
Gm26524|Gm26524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdhaf4|Sdhaf4	3086	2063	2692	2028	2495	2541	1876	2922	1804	2618	2285	4451	2507	2088	2210	3138	2791
Smap1|Smap1	3080	1630	2246	2033	3288	2817	2345	3379	1852	1749	3696	2138	2516	3342	2675	3280	3480
B3gat2|B3gat2	84	32	0	59	159	126	0	17	60	0	196	140	48	215	95	227	13
Fam135a|Fam135a	1168	811	1504	1099	1429	677	793	1518	750	1189	1097	1821	1044	1538	2067	2167	2240
Gm7846|Gm7846	88	55	59	51	78	80	67	88	38	102	58	94	79	98	62	87	73
Phf3|Phf3	1053	726	971	568	1314	1479	1100	2125	1522	2116	1436	1305	1373	1174	720	1172	1165
Lmbrd1|Lmbrd1	12987	9913	11550	9313	14528	14270	10674	16671	11418	15172	14414	19012	12986	12842	13660	15527	17023
Bag2|Bag2	302	129	217	179	111	277	246	343	349	358	319	215	391	230	260	293	89
Gm32229|Gm32229	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
Rab23|Rab23	442	350	491	468	475	424	547	390	336	513	403	805	743	576	701	383	667
Adgrb3|Adgrb3	0	34	48	98	0	72	10	0	24	0	64	37	110	16	284	46	0
Gm20172|Gm20172	0	0	0	0	0	0	2	0	0	6	4	0	0	0	5	0	0
Prim2|Prim2	782	532	626	770	1080	790	646	1236	834	954	815	944	887	763	1041	717	885
Gm39618|Gm39618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G17Rik|1700001G17Rik	12	10	0	1	0	0	0	0	35	59	31	0	0	11	0	34	0
Ptp4a1|Ptp4a1	11518	8064	9506	7363	13028	11863	9382	13846	11151	13816	11366	12356	10668	10474	11512	12520	12487
Zfp451|Zfp451	3525	2885	2986	2048	4555	3450	2231	4279	3090	3380	3806	3488	2626	2836	3145	2917	3087
Bend6|Bend6	5776	5096	5174	3671	8677	5603	2721	6513	3895	6109	6134	7253	6488	6432	7385	6811	8036
Gm38471|Gm38471	72	47	64	48	30	19	12	34	57	15	5	25	41	17	43	84	53
Arhgef4|Arhgef4	159	221	220	201	575	142	208	158	100	297	107	277	262	430	102	162	522
Dst|Dst	3135	1774	2750	2178	2032	3319	3990	4982	3041	3885	2849	2458	2476	1829	2038	2167	2158
Mir6896|Mir6896	4	0	3	5	1	1	0	2	0	0	0	0	0	0	0	1	2
LOC108167617|LOC108167617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Fam168b|Fam168b	4931	2792	4029	3397	5171	3991	4234	4835	3404	5316	4348	4774	3913	4139	5034	5018	4723
Ptpn18|Ptpn18	5944	3996	5164	3790	4063	4280	3302	5089	2649	4602	3216	6105	4568	4714	3165	5536	4637
4930568A12Rik|4930568A12Rik	119	118	168	32	174	105	67	77	62	38	274	246	191	43	39	110	226
Prss39|Prss39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir5103|Mir5103	2	2	4	3	6	0	5	2	0	0	5	5	2	9	12	0	0
Ccdc115|Ccdc115	5374	4084	5225	3377	5646	3728	3161	5805	3303	4428	3710	6372	4571	5611	4673	5618	5694
Imp4|Imp4	7446	5770	6981	5235	8060	6891	4672	8851	6407	9738	5934	8166	6311	6791	8253	9158	8214
Gm32504|Gm32504	0	4	0	0	0	12	8	6	0	0	30	8	0	0	0	15	0
Gm32566|Gm32566	80	74	106	57	93	123	72	45	74	38	48	121	66	79	76	108	41
Gm39624|Gm39624	53	27	54	53	146	49	0	75	37	49	27	128	86	70	86	32	81
Gm33280|Gm33280	0	9	0	0	53	0	11	0	0	0	13	11	0	21	0	0	55
Hs6st1|Hs6st1	1412	736	1285	665	980	1169	680	1158	673	1442	1125	1461	1335	1640	985	1097	782
Mir6897|Mir6897	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uggt1|Uggt1	4351	2915	4340	3700	4196	4364	2853	5982	3179	4170	4191	4222	4349	3973	5495	5119	4832
Plekhb2|Plekhb2	15212	11726	14726	11388	17629	12402	10647	16977	12674	20911	17819	22408	15874	15076	20767	21686	17716
Ankrd23|Ankrd23	21	43	29	29	0	142	54	0	0	99	148	0	145	133	0	31	132
Cnnm3|Cnnm3	466	319	500	225	440	496	455	550	314	640	558	594	469	348	350	479	390
Ankrd39|Ankrd39	497	275	391	238	139	346	148	404	295	272	215	453	254	431	108	420	213
Sema4c|Sema4c	731	390	514	464	581	432	268	318	175	267	241	323	378	594	244	711	544
Fam178b|Fam178b	105	69	80	30	138	20	30	47	104	98	52	104	153	78	28	172	93
Cox5b|Cox5b	4047	2912	3586	2727	3890	3914	2707	4698	3269	3934	2872	4584	3483	3216	3234	4336	4377
Zap70|Zap70	20	0	101	29	119	0	50	0	69	49	340	78	84	31	114	115	74
Actr1b|Actr1b	3557	2462	4022	2755	3002	2870	2199	4046	3055	3896	3652	4732	3465	4209	3608	5182	5100
Vwa3b|Vwa3b	64	23	23	0	0	0	23	12	26	0	64	22	43	18	0	0	0
Gm39626|Gm39626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37020|Gm37020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem131|Tmem131	1134	825	1243	711	1914	1140	1233	1483	852	1512	1493	968	914	1056	1400	1271	1088
Inpp4a|Inpp4a	2490	1544	2022	1893	2595	2268	2026	3298	1593	1848	2526	1222	1504	1841	2960	2393	2869
4930439A04Rik|4930439A04Rik	50	29	61	9	0	39	14	22	41	16	86	50	22	32	0	69	65
Neurl3|Neurl3	9301	7562	8837	6455	10348	7011	6438	10935	6315	11638	8438	12125	9761	9752	8033	9862	10692
Arid5a|Arid5a	2394	1442	1633	1593	2491	2194	1910	3378	1896	1911	1377	2519	2249	2289	2746	2042	2333
Kansl3|Kansl3	779	498	780	890	754	663	499	675	447	657	646	1435	736	662	1084	805	721
Mir6898|Mir6898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Fer1l5|Fer1l5	193	167	218	226	277	176	193	315	96	248	99	344	238	248	186	276	126
Lman2l|Lman2l	4528	3692	4655	4184	3879	4321	2982	5720	4220	6743	3585	5140	4400	4606	5386	6878	5369
Gm33401|Gm33401	17	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Gm33454|Gm33454	98	39	58	38	14	15	45	83	24	59	43	24	90	85	48	62	48
Cnnm4|Cnnm4	3623	2330	2472	2638	3180	3602	2297	3841	2970	3648	3690	3132	3123	3252	5600	3297	4837
2010300C02Rik|2010300C02Rik	50	81	147	48	171	82	70	48	74	63	89	34	58	81	206	125	123
LOC102637491|LOC102637491	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102637336|LOC102637336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm39628|Gm39628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipt1|Lipt1	52	118	182	61	0	126	193	296	212	142	339	331	15	241	182	85	322
Coa5|Coa5	6133	5092	6390	4970	8566	5750	3298	8571	4652	9170	5666	9556	7838	7132	8960	7633	7668
Unc50|Unc50	7919	6043	7319	5637	7242	7826	5283	9583	6069	9250	6679	8358	6607	7255	7880	7590	7940
Mitd1|Mitd1	654	561	571	789	1465	751	601	899	1070	994	1204	904	788	1062	1240	886	923
Mrpl30|Mrpl30	2441	1634	2066	1659	2503	2281	1857	2402	1495	3330	1833	3432	2529	2093	1715	2912	2321
Tsga10|Tsga10	988	768	861	632	1045	728	582	960	789	1149	539	1018	1273	774	1155	912	1006
Mgat4a|Mgat4a	8584	6203	7741	5795	11254	6876	5545	8252	6080	7936	8012	9797	7303	7506	9384	9639	10351
Gm39627|Gm39627	0	0	0	0	0	5	21	0	0	0	0	0	0	0	0	10	0
4930594C11Rik|4930594C11Rik	173	211	304	291	352	152	266	696	131	522	203	397	259	370	364	135	310
Txndc9|Txndc9	6159	4976	5360	4274	7799	6374	5474	7086	6394	7129	5724	7539	5511	6112	8195	6658	6529
Lonrf2|Lonrf2	36	0	0	0	0	29	0	0	0	0	0	0	0	64	0	21	16
Chst10|Chst10	340	128	316	186	130	403	214	132	152	315	196	116	187	303	764	568	305
Npas2|Npas2	0	3	10	26	0	0	0	0	0	63	0	5	48	39	86	9	12
Pdcl3|Pdcl3	6889	4725	5723	4269	6924	5595	4196	6480	5165	6810	4653	7167	5274	5320	7293	6840	7796
Gm34448|Gm34448	0	3	0	3	10	0	0	0	0	0	0	10	0	0	0	0	0
Rev1|Rev1	161	129	201	137	142	116	125	419	98	325	132	130	191	277	209	346	129
Eif5b|Eif5b	6006	4330	4224	3972	7124	6392	4837	9411	5377	6841	5827	5803	4822	5184	7655	4755	5804
Aff3|Aff3	38	11	60	10	0	0	0	119	68	112	36	0	0	10	0	0	10
Gm16150|Gm16150	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	56	0
LOC108167619|LOC108167619	25	0	0	0	0	0	0	0	0	0	0	2	0	0	0	55	0
Cnot11|Cnot11	155	176	220	108	53	142	212	207	88	238	108	168	158	122	91	268	186
Creg2|Creg2	31	56	62	71	0	71	80	48	118	99	20	0	119	36	0	113	361
D930019O06Rik|D930019O06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik|1700066B17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm35600|Gm35600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snord89|Snord89	0	0	0	0	0	0	0	7	2	5	0	0	0	0	0	1	0
Rnf149|Rnf149	1512	804	970	884	1334	1266	1061	1652	1161	1176	1422	1159	1010	1539	1816	1882	1282
Tbc1d8|Tbc1d8	2044	1002	1139	1658	1527	1192	1149	1452	542	1014	1243	1590	1049	1325	942	2108	1843
Rpl31|Rpl31	6291	4246	6000	4139	7178	5121	3781	6267	3603	5344	3544	9042	5587	5610	4533	6258	6546
Il1r2|Il1r2	57	169	111	296	321	50	17	494	37	351	252	170	65	0	93	143	192
Gm16894|Gm16894	53	39	28	28	15	0	0	6	32	41	12	89	0	23	5	57	30
Il1r1|Il1r1	203	122	168	169	428	37	46	263	453	87	566	187	110	148	778	230	474
Map4k4|Map4k4	2821	1427	1933	1198	2440	2025	1829	2783	1689	2189	2386	2604	2068	1856	2515	2041	2527
Il18rap|Il18rap	72	84	90	143	0	0	12	114	224	133	145	149	188	129	0	87	101
Slc9a2|Slc9a2	0	56	0	20	222	115	0	0	0	141	221	142	83	17	0	95	139
Gm37915|Gm37915	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	8
Mfsd9|Mfsd9	464	346	514	302	305	282	74	236	286	574	343	771	169	444	385	404	532
Il1rl1|Il1rl1	947	554	888	597	1138	332	422	865	579	457	924	1068	832	919	766	1151	1090
Tmem182|Tmem182	0	0	0	27	153	0	36	0	0	68	54	83	0	13	0	92	0
Il1rl2|Il1rl2	5738	3601	4465	3772	4424	4018	3585	6061	3043	5594	4019	7134	4200	5276	4360	6201	5489
Gm30248|Gm30248	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0
2900092D14Rik|2900092D14Rik	38	22	83	73	0	134	230	62	96	103	210	41	104	63	392	242	139
Gm42411|Gm42411	0	0	0	6	0	24	0	0	51	0	8	5	0	3	0	18	0
Pantr1|Pantr1	149	90	151	135	96	340	346	171	431	116	228	213	371	132	279	463	344
Pou3f3|Pou3f3	7	1	17	21	47	117	232	32	52	68	88	33	51	8	73	317	64
Gm29260|Gm29260	0	0	37	0	0	0	52	0	0	0	68	0	41	0	0	0	0
Mrps9|Mrps9	1708	1253	1576	1262	1591	1516	1038	2253	1708	1592	1431	2291	1563	1698	1943	2165	1945
1500015O10Rik|1500015O10Rik	154	30	22	21	0	12	0	0	147	26	242	33	0	8	0	104	74
Fhl2|Fhl2	0	0	0	11	0	0	42	0	0	0	142	0	25	0	0	0	36
Gm8210|Gm8210	0	0	7	3	14	3	4	0	0	9	0	3	0	0	3	7	0
Nck2|Nck2	0	6	9	0	0	5	7	0	11	0	58	5	0	0	0	4	0
LOC102632770|LOC102632770	61	50	70	35	75	40	29	61	32	71	49	77	32	46	33	38	56
Tgfbrap1|Tgfbrap1	1933	813	1442	1192	1255	1464	1344	1848	1458	1316	1844	1751	1494	1578	2065	1611	1247
Gm28782|Gm28782	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	21	0
LOC108167597|LOC108167597	0	0	0	0	0	1	16	0	0	0	0	0	7	0	0	0	0
AI597479|AI597479	1562	1275	1463	1315	2561	1246	1540	1822	1707	2107	2225	3315	2054	2306	3092	2328	2861
Uxs1|Uxs1	1988	1353	1603	1206	2365	1452	1155	1480	931	2237	2112	2120	1728	1650	1611	1727	1368
Tex30|Tex30	1516	692	910	789	1654	1430	1047	1955	1200	1233	1475	2250	1385	1672	1475	1680	2455
Ercc5|Ercc5	2047	1824	1654	1346	2047	1862	1242	2946	1549	2918	2229	2157	1313	1454	2665	1892	1719
Tpp2|Tpp2	5663	3277	5228	3437	5099	6520	4207	7702	4146	7198	6493	6868	4612	5356	7017	5672	6496
Col3a1|Col3a1	0	0	0	0	0	0	0	0	0	0	69	0	0	0	112	28	53
Kdelc1|Kdelc1	1196	778	1477	1047	2176	1636	1078	1558	1468	1446	1145	1732	801	1324	1833	1844	1996
Bivm|Bivm	999	622	713	677	1234	1019	519	845	852	1473	1589	1533	661	889	706	1152	1258
Col5a2|Col5a2	85	0	0	0	0	0	0	0	119	0	5	11	72	0	0	78	0
Gulp1|Gulp1	139	24	186	94	202	89	94	263	463	239	452	425	133	59	226	247	79
4930521E06Rik|4930521E06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdr75|Wdr75	1628	1010	1644	1004	2099	2367	1548	2205	1793	1914	1611	1984	2112	1563	3325	2004	1985
Tmeff2|Tmeff2	904	653	683	570	1062	3514	2850	1858	2213	760	2073	1763	1161	1102	1682	4246	5317
9330175M20Rik|9330175M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sdpr|Sdpr	1427	529	1255	954	1953	2184	608	1023	2470	3269	3031	2433	1482	551	1471	1853	2349
Nabp1|Nabp1	3490	1799	2291	1522	4370	2060	1953	4467	2720	5119	3574	7094	2292	3599	3363	3875	4400
Dnah7c|Dnah7c	47	7	33	0	10	31	5	8	13	6	7	0	15	10	31	43	8
Slc39a10|Slc39a10	4340	3995	4266	3391	5484	6466	4271	6421	5270	6827	6534	5230	4298	3718	6631	5525	4746
Slc40a1|Slc40a1	24963	20440	26871	20532	31850	23363	20594	33792	23158	32315	29273	40108	30673	28415	29661	33142	32988
Myo1b|Myo1b	3499	2141	2928	2063	4090	4603	2422	4035	2819	4264	2880	3294	3165	2946	3850	3924	3276
Gm553|Gm553	0	0	0	0	0	0	0	0	0	0	10	0	5	0	0	6	0
Nab1|Nab1	759	456	622	397	317	333	480	900	799	1263	778	684	649	989	601	879	888
Mfsd6|Mfsd6	74	28	82	101	0	359	77	233	132	174	226	182	209	97	0	463	287
Tmem194b|Tmem194b	656	495	752	302	1190	515	256	672	401	673	510	376	324	498	699	752	863
Gm28178|Gm28178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Inpp1|Inpp1	908	854	978	824	1685	902	733	876	555	704	787	886	867	802	734	1497	886
Stat1|Stat1	9761	6666	8339	7538	9458	7910	6510	11717	6825	12496	9238	10392	7658	7063	10822	9877	11068
Gls|Gls	1726	832	1215	900	1562	1225	1319	2129	1175	1727	2224	1783	1839	1208	1539	1130	2066
Hibch|Hibch	1010	637	888	546	879	1163	472	649	793	1230	1327	1344	609	1062	1332	954	1026
1700019D03Rik|1700019D03Rik	148	99	156	127	189	48	40	91	70	329	60	224	64	99	174	155	129
Asnsd1|Asnsd1	2721	1699	2393	1874	2491	1894	2055	3256	2040	1807	1808	3104	2618	2796	1996	2242	2763
Pms1|Pms1	808	685	708	729	1268	754	934	1387	817	1105	679	788	694	769	1389	1379	1123
Osgepl1|Osgepl1	1028	768	997	510	1322	841	733	1081	1183	624	1083	865	817	752	613	1232	1205
Ormdl1|Ormdl1	3591	2589	3288	2830	2281	4144	3036	4932	2303	4054	2658	4385	3800	3975	2266	4001	3823
Gtf3c3|Gtf3c3	2758	1618	2401	1297	2655	1708	1171	2204	1179	1654	2224	2455	1766	1503	2503	2000	2056
Pgap1|Pgap1	441	344	230	249	88	51	204	366	219	301	312	487	227	484	666	273	695
Hecw2|Hecw2	45	5	11	43	0	185	124	0	151	0	13	8	55	30	291	218	57
Mir7681|Mir7681	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
Dnah7a|Dnah7a	0	0	10	13	14	0	29	0	0	8	62	0	0	0	22	10	0
Gm32311|Gm32311	65	85	79	33	78	64	81	92	90	106	106	115	99	56	128	61	91
Stk17b|Stk17b	12703	8544	9947	7865	15112	13176	10283	19564	10845	15913	13352	13876	8144	9682	11980	12597	12540
Ankrd44|Ankrd44	8840	5538	7524	6601	8532	7741	5380	10124	7738	8983	8671	9156	7129	7831	6890	9418	7663
4930444A19Rik|4930444A19Rik	25	35	35	30	49	2	9	0	12	0	67	0	18	27	0	11	21
Coq10b|Coq10b	3426	2089	2307	1606	2981	4547	2889	5828	3703	4299	3490	5411	3147	2666	4209	3900	3651
Sf3b1|Sf3b1	24441	16380	21442	16050	28354	25915	18911	35973	21594	29416	24799	29646	25900	22713	34138	25892	28404
Mars2|Mars2	391	424	282	283	815	281	108	443	317	207	447	720	401	230	484	815	603
Boll|Boll	0	25	6	0	0	0	53	0	0	0	0	0	3	0	25	59	0
Rftn2|Rftn2	172	211	510	315	374	652	430	575	522	435	722	390	463	325	958	893	515
Gm10561|Gm10561	16	14	15	9	4	0	0	14	35	35	13	28	3	23	26	23	12
Mob4|Mob4	5717	3651	4691	3810	4552	5798	4464	7131	4986	7605	6014	8524	6032	7027	5788	6980	4732
1700066M21Rik|1700066M21Rik	849	391	614	473	387	623	498	647	713	654	1109	815	759	870	642	1228	712
Hspd1|Hspd1	13087	9428	10950	9544	14254	16402	12625	18838	14457	17697	15214	18710	13051	11885	17194	15780	14218
Hspe1|Hspe1	4517	3033	3940	3152	3696	4782	3891	5808	4044	4968	4170	7395	4771	4364	3227	5640	3953
Satb2|Satb2	35	0	0	0	0	0	15	0	0	80	0	23	12	0	5	73	52
9130024F11Rik|9130024F11Rik	15	6	20	0	0	0	14	0	0	0	34	23	8	0	0	0	0
Tyw5|Tyw5	301	363	354	209	696	292	392	510	299	478	411	520	292	270	168	259	702
9430016H08Rik|9430016H08Rik	1171	881	998	682	1656	964	750	1024	859	1345	950	1375	1057	1382	978	1210	1637
LOC108167625|LOC108167625	0	5	0	0	15	0	0	0	0	19	0	0	0	0	0	0	0
Gm39642|Gm39642	2	3	15	5	19	3	13	39	13	9	15	4	12	8	1	2	0
Plcl1|Plcl1	1068	620	971	417	783	1144	636	1119	833	1137	820	1323	713	1124	1142	1554	1360
Gm6644|Gm6644	235	170	259	150	233	177	117	162	180	228	104	201	193	193	196	211	194
Spats2l|Spats2l	96	50	87	94	0	85	91	0	0	211	94	145	8	98	0	117	88
Kctd18|Kctd18	406	331	626	484	753	486	407	1286	296	650	790	791	470	788	679	863	1009
Sgol2a|Sgol2a	36	12	77	50	0	139	192	0	120	0	81	29	81	138	0	208	48
Bzw1|Bzw1	39486	26164	31384	25691	44367	33340	27033	47087	35365	44417	37941	49201	33540	35240	42075	38623	41216
Ppil3|Ppil3	856	617	759	738	1105	762	427	818	500	1141	603	1236	959	809	690	1293	960
Nif3l1|Nif3l1	2218	1792	1875	1581	1711	1749	1354	1971	1574	2444	1524	2246	1267	1652	1180	2350	2437
Orc2|Orc2	1875	1271	1823	1098	1565	1311	1887	2512	1529	2232	2771	2912	2309	2237	3606	2255	1782
Gm20257|Gm20257	10	72	64	40	241	64	25	41	46	87	80	126	55	86	29	142	83
Gm15834|Gm15834	95	70	23	83	32	9	29	131	53	55	43	55	125	0	231	263	50
Fam126b|Fam126b	2459	1987	2879	2030	3379	2712	2450	2644	2733	1693	3318	3064	2060	2999	2223	3482	3318
Ndufb3|Ndufb3	2991	2037	2825	1973	2653	2501	2071	2996	2065	2867	2605	3692	3180	2810	2507	3735	3022
Clk1|Clk1	25158	16453	17181	13145	28421	19840	18748	31089	19615	27349	22696	30632	17620	19218	22543	25823	26399
Gm28802|Gm28802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
